 : 1190327 occurence
G423_C600 : 1 occurence
S163_I522 : 1 occurence
H522 : 7 occurence
U360_D236 : 1 occurence
O636_D560 : 1 occurence
D230_B000 : 1 occurence
F200_F600 : 1 occurence
L100_B430 : 1 occurence
A632_D200 : 1 occurence
R300_C540_T610 : 1 occurence
Y160 : 1 occurence
C164_D462 : 1 occurence
U364 : 1 occurence
H240_S523 : 1 occurence
D613_A526 : 1 occurence
V200_D130_C630 : 1 occurence
C160_L200 : 1 occurence
N262_S624_T260 : 1 occurence
M260_S526 : 1 occurence
U512_S514 : 1 occurence
C500_H200 : 1 occurence
C521_D162 : 1 occurence
G620_S410 : 1 occurence
E535_S122_L230 : 1 occurence
C650_M265 : 1 occurence
E236_J246_V500 : 1 occurence
S453_A363 : 1 occurence
G500_R335 : 1 occurence
B652_F620 : 1 occurence
C526_M340 : 1 occurence
U563_W550 : 1 occurence
B240_N211 : 1 occurence
D232_F623 : 1 occurence
R520_R300 : 3 occurence
A630_W552_F452 : 1 occurence
C630_F450 : 1 occurence
P122_S320 : 1 occurence
S400_P500_P200 : 1 occurence
A462_S121_I200 : 1 occurence
B453_A123 : 1 occurence
D623_S162 : 1 occurence
T614_M636 : 1 occurence
T622_G523 : 1 occurence
R431_U525 : 1 occurence
C532_B252 : 1 occurence
E215_C430 : 1 occurence
E421 : 6 occurence
P663_V410 : 1 occurence
U536_W230 : 1 occurence
B343_S165 : 1 occurence
M522_G300_M650 : 1 occurence
H430_L260 : 1 occurence
W360_M350 : 1 occurence
F000_C100_R140 : 1 occurence
I512_T230 : 1 occurence
G610_Y630 : 1 occurence
R340_G626 : 1 occurence
P252_F500_A300 : 1 occurence
Y400_S162 : 1 occurence
P630_H232 : 1 occurence
C420_T200 : 1 occurence
C652_L512_L250 : 1 occurence
H550_H530 : 1 occurence
S630_M560 : 1 occurence
G230_F653 : 1 occurence
I526_R162 : 3 occurence
R135_R140 : 1 occurence
U200_M224_I523 : 1 occurence
C600_H522 : 1 occurence
R212_S452 : 1 occurence
G165_N350 : 1 occurence
W360_L113 : 1 occurence
E512_M500 : 2 occurence
W455 : 3 occurence
D562_D262 : 1 occurence
P432_E213 : 1 occurence
H300_C656 : 1 occurence
L520_A241 : 1 occurence
C535_D236 : 1 occurence
S362_A612 : 1 occurence
T614_I356 : 2 occurence
T613_S230 : 1 occurence
L200_B000 : 2 occurence
G650_P162_S200 : 1 occurence
E240_P253 : 1 occurence
G165_A265 : 1 occurence
Y500_B653_I520 : 1 occurence
B224_A600 : 1 occurence
M325_C230 : 1 occurence
E413 : 8 occurence
H400_M636 : 1 occurence
I525_A110 : 1 occurence
C520 : 19 occurence
P460_P626_S163 : 1 occurence
T365_S250 : 1 occurence
M235_A243 : 1 occurence
P400_C630 : 2 occurence
A530_I514 : 1 occurence
C146_R255 : 1 occurence
H561_M535_A630 : 1 occurence
H630_T610 : 1 occurence
B400_M240 : 2 occurence
E140_A625_F650 : 1 occurence
S240_I243 : 1 occurence
B300_B160 : 1 occurence
O323_A352 : 1 occurence
R335_M660 : 1 occurence
S360_D600_G320 : 1 occurence
E132_F450 : 1 occurence
E660_R300 : 1 occurence
U653_F625 : 1 occurence
F430_P625 : 1 occurence
S533_P636 : 1 occurence
G000_B200_T500 : 1 occurence
P630_S362 : 1 occurence
S362_C200 : 1 occurence
B100_C610 : 1 occurence
H200_R100 : 1 occurence
P320_I526 : 1 occurence
D400_C150_C525 : 1 occurence
G320_R552 : 1 occurence
P616_H250 : 1 occurence
U522_C600 : 1 occurence
T150_B400 : 1 occurence
A500_N216 : 1 occurence
M260_T652_H100 : 1 occurence
S365_B423 : 1 occurence
T650_P300 : 1 occurence
H130_P613 : 1 occurence
D213_B636 : 1 occurence
W550_S532 : 1 occurence
C535_P626 : 1 occurence
F624_C513 : 1 occurence
R254 : 5 occurence
N216_H200 : 1 occurence
H100_F452 : 1 occurence
C632_D620 : 1 occurence
B613_M260 : 1 occurence
D320_P613 : 1 occurence
W535_C643 : 1 occurence
C530_I532 : 1 occurence
P632_P553 : 1 occurence
N654 : 4 occurence
P100_R200_S526 : 1 occurence
S520_C630 : 1 occurence
M230_P330 : 1 occurence
B452_C410 : 2 occurence
N600_H400 : 1 occurence
R500_F623 : 1 occurence
G612_D126 : 1 occurence
T623_T646_D616 : 1 occurence
V432_R243 : 2 occurence
P224_D251 : 1 occurence
O400_P535 : 1 occurence
K520_C610 : 1 occurence
U200_E000 : 1 occurence
E236_B520 : 1 occurence
M300_O362 : 1 occurence
S353_G653 : 1 occurence
L563 : 3 occurence
M246_E350 : 1 occurence
M430_I523 : 1 occurence
C355 : 5 occurence
V652_I535 : 1 occurence
R200_W620 : 1 occurence
W236_C454 : 1 occurence
S600_N143 : 1 occurence
A362_B261 : 1 occurence
Q260_H400_N625_H500 : 1 occurence
S320_E252 : 1 occurence
W323_V630 : 1 occurence
M500_B000 : 2 occurence
M400_C100 : 1 occurence
E620_B421 : 1 occurence
G620_C415 : 1 occurence
A500_C514 : 1 occurence
L200_O300_L300 : 1 occurence
R130_D162 : 2 occurence
S410_C513 : 2 occurence
A640_G560 : 1 occurence
S300_E000 : 2 occurence
C516_A150 : 1 occurence
P161 : 5 occurence
A532_P612 : 1 occurence
C300_B200_C300 : 1 occurence
S212_T100 : 1 occurence
I523_C513 : 1 occurence
P336_O631 : 1 occurence
L235_R200_M220 : 1 occurence
T552_S000 : 1 occurence
A120_D525_W300 : 1 occurence
E360 : 3 occurence
M200_O500_P625 : 1 occurence
W350_G653 : 1 occurence
D263_B265 : 1 occurence
L230_U530 : 1 occurence
V240_C630_D215 : 1 occurence
S360_F400 : 1 occurence
B361 : 12 occurence
L336 : 1 occurence
R200_N340 : 1 occurence
G362_S526 : 1 occurence
D552_P655 : 1 occurence
C100_V320 : 1 occurence
C434_I525 : 1 occurence
G300_L230 : 1 occurence
B630_F460 : 1 occurence
D000_P630 : 2 occurence
L160_P630_P432 : 1 occurence
L365_C620 : 1 occurence
P530_L500 : 1 occurence
S253_L513 : 1 occurence
C530_S360 : 1 occurence
